ID,Date,Turbidity,pH,Dissolved Oxygen,Conductivity,Temperature,UnsupervisedLearning Class
101,20/06/2019 11:24,201.35,2.31,9.31,909.32,29.67,1
102,20/06/2019 11:24,201.35,2.31,9.31,909.32,29.67,1
103,20/06/2019 11:27,126.68,2.35,10.1,1022.98,29.48,1
104,20/06/2019 11:27,126.68,2.35,10.1,1022.98,29.48,1
105,20/06/2019 11:28,107.67,2.42,9.05,795.65,29.67,1
106,20/06/2019 11:28,107.67,2.42,9.05,795.65,29.67,1
107,20/06/2019 11:29,238.68,2.35,9.24,833.54,29.67,1
108,20/06/2019 11:29,238.68,2.35,9.24,833.54,29.67,1
109,20/06/2019 11:30,204.74,1.74,9.39,1136.65,29.48,1
110,20/06/2019 11:30,204.74,1.74,9.39,1136.65,29.48,1
111,23/06/2019 08:50,33,6.91,7.67,1818.64,29.48,1
112,23/06/2019 08:50,33,6.91,7.67,1818.64,29.48,1
113,23/06/2019 08:51,34.35,6.64,8.62,1970.19,29.48,1
114,23/06/2019 08:51,34.35,6.64,8.62,1970.19,29.48,1
115,23/06/2019 08:52,45.89,5.58,9.62,2765.84,29.39,2
116,23/06/2019 08:52,45.89,5.58,9.62,2765.84,29.39,2
117,23/06/2019 08:53,48.61,6.34,9.36,2121.74,29.48,2
118,23/06/2019 08:53,48.61,6.34,9.36,2121.74,29.48,2
119,23/06/2019 08:54,52,6.64,9.31,2159.63,29.48,2
120,23/06/2019 08:54,52,6.64,9.31,2159.63,29.48,2
121,23/06/2019 08:54,40.46,6.61,9.5,2159.63,29.39,2
122,23/06/2019 08:54,40.46,6.61,9.5,2159.63,29.39,2
123,23/06/2019 08:57,31.64,6.64,9.62,2121.74,29.48,2
124,23/06/2019 08:57,31.64,6.64,9.62,2121.74,29.48,2
125,23/06/2019 09:36,68.3,6.91,9.34,2121.74,29.29,2
126,23/06/2019 09:36,68.3,6.91,9.34,2121.74,29.29,2
127,23/06/2019 11:45,54.04,7.63,2.04,1515.53,30.7,1
128,23/06/2019 11:45,54.04,7.63,2.04,1515.53,30.7,1
129,23/06/2019 11:46,60.83,7.06,2.11,1439.75,30.89,1
130,23/06/2019 11:46,60.83,7.06,2.11,1439.75,30.89,1
131,23/06/2019 11:46,35.03,7.37,1.99,1326.09,30.79,1
132,23/06/2019 11:46,35.03,7.37,1.99,1326.09,30.79,1
133,23/06/2019 11:47,56.76,7.44,1.95,1363.98,30.89,1
134,23/06/2019 11:47,56.76,7.44,1.95,1363.98,30.89,1
135,23/06/2019 11:49,38.43,7.14,2.04,1515.53,30.98,1
136,23/06/2019 11:49,38.43,7.14,2.04,1515.53,30.98,1
137,23/06/2019 12:55,38.43,7.56,2.49,1098.76,30.79,1
138,23/06/2019 12:55,38.43,7.56,2.49,1098.76,30.79,1
139,23/06/2019 13:24,29.6,7.18,2.76,1363.98,32.11,1
140,23/06/2019 13:24,29.6,7.18,2.76,1363.98,32.11,1
141,23/06/2019 13:25,52,6.8,2.95,1704.97,31.26,1
142,23/06/2019 13:25,52,6.8,2.95,1704.97,31.26,1
143,23/06/2019 13:27,47.93,7.21,2.73,1363.98,31.17,1
144,23/06/2019 13:27,47.93,7.21,2.73,1363.98,31.17,1
145,23/06/2019 13:28,44.54,7.25,2.73,1401.87,31.17,1
146,23/06/2019 13:28,44.54,7.25,2.73,1401.87,31.17,1
147,23/06/2019 13:29,54.04,6.95,2.83,1629.2,31.92,1
148,23/06/2019 13:29,54.04,6.95,2.83,1629.2,31.92,1
149,23/06/2019 13:31,48.61,7.25,2.76,1401.87,30.98,1
150,23/06/2019 13:31,48.61,7.25,2.76,1401.87,30.98,1
151,23/06/2019 13:32,37.75,7.21,2.76,1401.87,31.07,1
152,23/06/2019 13:32,37.75,7.21,2.76,1401.87,31.07,1
153,23/06/2019 13:33,53.36,7.21,2.8,1401.87,30.98,1
154,23/06/2019 13:33,53.36,7.21,2.8,1401.87,30.98,1
155,23/06/2019 13:36,50.65,7.21,2.8,1326.09,31.07,1
156,23/06/2019 13:36,50.65,7.21,2.8,1326.09,31.07,1
157,23/06/2019 13:40,49.97,6.99,2.9,1477.64,31.92,1
158,23/06/2019 13:40,49.97,6.99,2.9,1477.64,31.92,1
159,23/06/2019 13:44,43.86,7.25,2.8,1326.09,31.07,1
160,23/06/2019 13:44,43.86,7.25,2.8,1326.09,31.07,1
165,24/09/2019 15:37,614.08,3.26,17.04,31333.59,30.14,0
166,24/09/2019 15:37,614.08,3.26,17.04,31333.59,30.14,0
193,13/10/2019 16:12,45.22,1.93,1.46,1780.75,24.84,1
194,13/10/2019 16:12,45.22,1.93,1.46,1780.75,24.84,1
195,13/10/2019 16:12,58.11,1.97,1.46,1591.31,24.93,1
196,13/10/2019 16:12,58.11,1.97,1.46,1591.31,24.93,1
197,13/10/2019 16:13,53.36,1.74,1.46,1704.97,24.84,1
198,13/10/2019 16:13,53.36,1.74,1.46,1704.97,24.84,1
199,13/10/2019 16:13,41.82,1.7,1.46,1742.86,24.84,1
200,13/10/2019 16:13,41.82,1.7,1.46,1742.86,24.84,1
201,13/10/2019 16:13,41.14,1.89,1.46,1553.42,24.84,1
202,13/10/2019 16:13,41.14,1.89,1.46,1553.42,24.84,1
203,13/10/2019 16:13,42.5,1.89,1.46,1629.2,24.84,1
204,13/10/2019 16:13,42.5,1.89,1.46,1629.2,24.84,1
205,13/10/2019 16:13,58.11,1.93,1.46,1667.08,24.84,1
206,13/10/2019 16:13,58.11,1.93,1.46,1667.08,24.84,1
207,13/10/2019 16:13,49.29,1.93,1.46,1704.97,24.84,1
208,13/10/2019 16:13,49.29,1.93,1.46,1704.97,24.84,1
209,13/10/2019 16:13,62.87,1.66,1.46,1856.52,24.84,1
210,13/10/2019 16:13,62.87,1.66,1.46,1856.52,24.84,1
211,13/10/2019 16:13,57.43,1.62,1.46,1704.97,24.74,1
212,13/10/2019 16:13,57.43,1.62,1.46,1704.97,24.74,1
213,13/10/2019 16:13,45.89,1.89,1.46,1704.97,24.74,1
214,13/10/2019 16:13,45.89,1.89,1.46,1704.97,24.74,1
